Trimestre,Setor,Estoque,Estoque_Nacional
2013q2,Serviços Imobiliários,570866.95600621984,90849154.007396027
2013q2,Transporte,4354970.7451886814,90849154.007396027
2013q3,APU,14538967.909903543,91437886.531894192
2013q3,Comércio,2733450.0994471391,91437886.531894192
2013q3,Intermediação Financeira,1281758.7053751408,91437886.531894192
2013q3,Outros Serviços,9936992.8857082445,91437886.531894192
2013q3,Serviço de Informação,1397689.7427952897,91437886.531894192
2013q3,Serviços Imobiliários,586333.05397584,91437886.531894192
2013q3,Transporte,4277699.349217739,91437886.531894192
2013q4,APU,14527328.412204882,92169991.950692892
2013q4,Comércio,2818354.8088861308,92169991.950692892
2013q4,Intermediação Financeira,1302063.7346614497,92169991.950692892
2013q4,Outros Serviços,9988659.7597944178,92169991.950692892
2013q4,Serviço de Informação,1433718.6051040902,92169991.950692892
2013q4,Serviços Imobiliários,545769.12203251,92169991.950692892
2013q4,Transporte,4266145.6630846709,92169991.950692892
2014q1,APU,14505566.964611379,91455784.681485564
2014q1,Comércio,2758500.7603041292,91455784.681485564
2014q1,Intermediação Financeira,1323940.2984923308,91455784.681485564
2014q1,Outros Serviços,9962820.8600286972,91455784.681485564
2014q1,Serviço de Informação,1428583.3079087392,91455784.681485564
2014q1,Serviços Imobiliários,530900.28686572,91455784.681485564
2014q1,Transporte,4211390.1518644011,91455784.681485564
2014q2,APU,14823669.691134702,92117555.7090969
2014q2,Comércio,2830949.2302855407,92117555.7090969
2014q2,Intermediação Financeira,1300935.44657021,92117555.7090969
2014q2,Outros Serviços,10045597.330416795,92117555.7090969
2014q2,Serviço de Informação,1418636.67982894,92117555.7090969
2014q2,Serviços Imobiliários,523575.88830591994,92117555.7090969
2014q2,Transporte,4285166.0232612221,92117555.7090969
2014q3,APU,14869462.936414564,92406710.074775174
2014q3,Comércio,2825875.7887524809,92406710.074775174
2014q3,Intermediação Financeira,1351815.9682100595,92406710.074775174
2014q3,Outros Serviços,10163418.372883903,92406710.074775174
2014q3,Serviço de Informação,1414156.4236011,92406710.074775174
2014q3,Serviços Imobiliários,544665.03465805971,92406710.074775174
2014q3,Transporte,4184252.0908285817,92406710.074775174
2014q4,APU,15061370.265464185,92961902.172442928
2014q4,Comércio,2816544.61298929,92961902.172442928
2014q4,Intermediação Financeira,1346002.0004144802,92961902.172442928
2014q4,Outros Serviços,10071849.876721581,92961902.172442928
2014q4,Serviço de Informação,1401395.83552419,92961902.172442928
2014q4,Serviços Imobiliários,614891.72119610955,92961902.172442928
2014q4,Transporte,4314503.2142466707,92961902.172442928
2015q1,APU,14650336.360283712,91961887.621159479
2015q1,Comércio,2821948.90262781,91961887.621159479
2015q1,Intermediação Financeira,1302602.1179353201,91961887.621159479
2015q1,Outros Serviços,10036370.176018175,91961887.621159479
2015q1,Serviço de Informação,1367216.4530711405,91961887.621159479
2015q1,Serviços Imobiliários,563041.71312317986,91961887.621159479
2015q1,Transporte,4339577.3261562912,91961887.621159479
2015q2,APU,14961248.904347219,92248618.0536187
2015q2,Comércio,2880591.188366469,92248618.0536187
2015q2,Intermediação Financeira,1283562.5997963203,92248618.0536187
2015q2,Outros Serviços,10045460.86459526,92248618.0536187
2015q2,Serviço de Informação,1394201.7936000598,92248618.0536187
2015q2,Serviços Imobiliários,592467.29051636974,92248618.0536187
2015q2,Transporte,4322460.5963195,92248618.0536187
2015q3,APU,15148604.676586024,92201119.226972371
2015q3,Comércio,2804332.7087666187,92201119.226972371
2015q3,Intermediação Financeira,1208575.3156125399,92201119.226972371
2015q3,Outros Serviços,10132491.84715635,92201119.226972371
2015q3,Serviço de Informação,1435350.1311008094,92201119.226972371
2015q3,Serviços Imobiliários,580926.69041145977,92201119.226972371
2015q3,Transporte,4316373.71378528,92201119.226972371
2015q4,APU,15383927.166750198,92365519.158517554
2015q4,Comércio,2859792.4377175192,92365519.158517554
2015q4,Intermediação Financeira,1209720.0980003094,92365519.158517554
2015q4,Outros Serviços,10424316.201611783,92365519.158517554
2015q4,Serviço de Informação,1318100.47560177,92365519.158517554
2015q4,Serviços Imobiliários,573625.46833060007,92365519.158517554
2015q4,Transporte,4552583.61739258,92365519.158517554
2016q1,APU,15039670.293394255,90708270.236750633
2016q1,Comércio,2883580.4484576983,90708270.236750633
2016q1,Intermediação Financeira,1271900.01015342,90708270.236750633
2016q1,Outros Serviços,10326794.43351814,90708270.236750633
2016q1,Serviço de Informação,1309083.6688605002,90708270.236750633
2016q1,Serviços Imobiliários,564759.36080262985,90708270.236750633
2016q1,Transporte,4520620.3846513592,90708270.236750633
2016q2,APU,15421747.871051731,90673079.236626223
2016q2,Comércio,2855446.1527220807,90673079.236626223
2016q2,Intermediação Financeira,1203455.4313283404,90673079.236626223
2016q2,Outros Serviços,10333351.373964045,90673079.236626223
2016q2,Serviço de Informação,1306512.18607096,90673079.236626223
2016q2,Serviços Imobiliários,520296.5367277101,90673079.236626223
2016q2,Transporte,4523967.6092934776,90673079.236626223
2016q3,APU,15478183.019458963,89821449.169341519
2016q3,Comércio,2798308.8527226411,89821449.169341519
2016q3,Intermediação Financeira,1219017.5754098,89821449.169341519
2016q3,Outros Serviços,10396860.471606344,89821449.169341519
2016q3,Serviço de Informação,1334204.3127446997,89821449.169341519
