Trimestre,Setor,Produtividade_Hora_Habitual,Investimento_Tech_USD,VAB_Industria_Volume,Share_it,Bartik_Tech_it,Stringency_Index
2019q2,APU,15.67648634388673,2565062774,0.6,0.17232184890162466,442016359.7644102,0.0
2019q3,APU,15.488549407574933,2376642871,0.2,0.17206409289222904,408934899.7273979,0.0
2019q4,APU,15.40667609575425,2503083604,0.1,0.17076791757095328,427446374.56107664,0.0
2020q1,APU,15.336637045542917,2357524519,-1.9,0.174835280650425,412178460.9196232,16.942967032967033
2020q2,APU,13.5254111071483,2014228419,-11.8,0.19485861253471443,392489755.0543314,77.64978021978023
2020q3,APU,14.464795395183195,2690365501,15.4,0.18876897935748138,507857549.72234905,73.7641304347826
2020q4,APU,14.373715667735809,2803870802,2.5,0.1854163899666212,519883602.0396549,61.44369565217391
2021q1,APU,14.583591827354288,2671732039,1.7,0.18446604510459746,492843842.81357217,69.496
2021q2,APU,14.83612989154756,2580148771,-1.6,0.18126144769658126,467681501.5040149,62.87582417582417
2021q3,APU,15.44847218928336,2795427895,-1.1,0.17241192969602281,481965117.703041,55.25532608695652
2021q4,APU,15.350826313415594,2907096620,-2.7,0.17114750013143307,497542319.15353864,51.5175
2022q1,APU,15.401624867091936,2938566873,3.3,0.17167031957033507,504464714.16671026,37.565666666666665
2022q2,APU,14.67643760818152,3216294182,1.5,0.1739560319270414,559493773.4107496,29.496923076923075
2022q3,APU,14.576988061489452,3079200592,0.5,0.17537376286827416,540010994.4452574,24.421739130434784
2022q4,APU,14.427858993902186,2866615674,-0.6,0.17697717806962604,507325552.59467906,22.22
2023q1,APU,14.897136745887666,2711131832,0.2,0.17552854726664244,475881031.9193109,0.0
2023q2,APU,14.705913657919854,2544826275,0.9,0.18084485168088207,460218730.25598663,0.0
2023q3,APU,14.81827057379716,2556798065,0.7,0.18123432546277218,463379572.6547961,0.0
2023q4,APU,14.621179124300268,2532091527,1.5,0.1786521615112509,452363624.44287395,0.0
2024q1,APU,14.816455847926072,2844413599,0.6,0.17685235368500288,503041239.83677995,0.0
2024q2,APU,14.347811684091129,2904596545,0.5,0.18238821159322563,529764169.2424121,0.0
2024q3,APU,14.45893275100074,3303829108,0.7,0.18185618370363119,600821753.189852,0.0
2024q4,APU,14.199738058714434,2902963725,0.4,0.18042141579186768,523756825.25693405,0.0
2025q1,APU,14.367914521626435,2941039990,0.1,0.17971078030640827,528536591.51525116,0.0
2025q2,APU,14.045850780378998,2751417297,0.6,0.18443223704272071,507450047.1237459,0.0
2025q3,APU,14.227183939695822,3149891124,0.6,0.186271881686345,586736146.7745963,0.0
2025q4,APU,13.845407110633426,3374316549,-0.7,,,0.0
2012q1,Comércio,6.014877528628354,2521234716,0.3,0.030460071998707962,76796990.97500202,0.0
2012q2,Comércio,6.329422949909522,2675921818,-2.1,0.030955848525790856,82835430.46486689,0.0
2012q3,Comércio,6.686881257352775,2696978633,1.5,0.0299456287186876,80762720.80605163,0.0
2012q4,Comércio,6.54028292297754,2382736204,-0.9,0.03024208056668557,72058900.25052655,0.0
2013q1,Comércio,6.1629479525616775,2522363070,0.3,0.03090572169068273,77955451.04427609,0.0
2013q2,Comércio,6.488703199594344,3176400693,2.9,0.030197214520738303,95918453.13034281,0.0
2013q3,Comércio,6.622218107906998,2943923956,0.5,0.0298940647375275,88005853.32302205,0.0
2013q4,Comércio,6.567010146829572,2998328309,-0.8,0.030577791635197644,91682258.2865165,0.0
2014q1,Comércio,6.239992970671116,2901354986,0.1,0.030162124461686063,87511030.19526543,0.0
2014q2,Comércio,6.310250754495741,2947831109,-2.5,0.03073191867167591,90592505.8996242,0.0
2014q3,Comércio,6.656273988010388,2886697965,-0.5,0.030580850529856464,88277678.99250583,0.0
2014q4,Comércio,6.656447338602396,2992885811,0.8,0.030297837578287096,90677968.19203806,0.0
2015q1,Comércio,6.082267326470012,2787749436,-2.1,0.03068606980157841,85545073.78240685,0.0
2015q2,Comércio,5.933257129386273,2114583712,-2.8,0.031226388526407526,66030812.562525034,0.0
2015q3,Comércio,6.040147165305234,1823807966,-2.0,0.030415386844308976,55471824.815622315,0.0
2015q4,Comércio,6.022225470823996,1654338141,-1.7,0.030961688558362864,51221102.29186299,0.0
2016q1,Comércio,5.574411383936897,1630658015,-0.2,0.03178960905032681,51837980.79163195,0.0
2016q2,Comércio,5.694926960907686,1819934791,-0.6,0.03149166408334195,57312775.09175913,0.0
2016q3,Comércio,6.027748225788203,1832561168,-1.0,0.031154127200140734,57091843.72991047,0.0
2016q4,Comércio,5.8663352943352205,2126829656,-1.7,0.031264965538079934,66495255.9002064,0.0
2017q1,Comércio,5.582418400857186,2182272475,0.9,0.03129104132413094,68285578.19573851,0.0
