Trimestre_Cod,Setor_Cod,Setor_Nome,VAB_Indice_Volume
202001,90700,"Atividades financeiras, de seguros e serviços relacionados",-0.8
202001,90702,Atividades imobiliárias,1.1
202001,90701,Outras atividades de serviços,-3.3
202001,90703,"Administração, saúde e educação públicas e seguridade social",-0.9
202002,90697,Comércio,-13.7
202002,90698,"Transporte, armazenagem e correio",-19.8
202002,90699,Informação e comunicação,-4.3
202002,90700,"Atividades financeiras, de seguros e serviços relacionados",4.0
202002,90702,Atividades imobiliárias,0.2
202002,90701,Outras atividades de serviços,-16.6
202002,90703,"Administração, saúde e educação públicas e seguridade social",-7.8
202003,90697,Comércio,15.9
202003,90698,"Transporte, armazenagem e correio",10.5
202003,90699,Informação e comunicação,2.7
202003,90700,"Atividades financeiras, de seguros e serviços relacionados",0.6
202003,90702,Atividades imobiliárias,0.7
202003,90701,Outras atividades de serviços,8.9
202003,90703,"Administração, saúde e educação públicas e seguridade social",3.2
202004,90697,Comércio,3.2
202004,90698,"Transporte, armazenagem e correio",6.8
202004,90699,Informação e comunicação,4.6
202004,90700,"Atividades financeiras, de seguros e serviços relacionados",-1.1
202004,90702,Atividades imobiliárias,0.7
202004,90701,Outras atividades de serviços,6.2
202004,90703,"Administração, saúde e educação públicas e seguridade social",2.5
202101,90697,Comércio,-0.2
202101,90698,"Transporte, armazenagem e correio",2.1
202101,90699,Informação e comunicação,4.5
202101,90700,"Atividades financeiras, de seguros e serviços relacionados",-0.6
202101,90702,Atividades imobiliárias,0.6
202101,90701,Outras atividades de serviços,1.6
202101,90703,"Administração, saúde e educação públicas e seguridade social",0.1
202102,90697,Comércio,-1.7
202102,90698,"Transporte, armazenagem e correio",-0.9
202102,90699,Informação e comunicação,4.8
202102,90700,"Atividades financeiras, de seguros e serviços relacionados",-0.6
202102,90702,Atividades imobiliárias,0.2
202102,90701,Outras atividades de serviços,1.2
202102,90703,"Administração, saúde e educação públicas e seguridade social",0.6
202103,90697,Comércio,0.2
202103,90698,"Transporte, armazenagem e correio",0.6
202103,90699,Informação e comunicação,1.5
202103,90700,"Atividades financeiras, de seguros e serviços relacionados",-1.0
202103,90702,Atividades imobiliárias,-0.1
202103,90701,Outras atividades de serviços,4.6
