Trimestre,Setor,Estoque_Total_Setor,Estoque_TI_Setor
2014q1,Intermediação Financeira,1323940.2984923304,43508.87092088
2014q1,Outros Serviços,9962820.8600287,40526.162333329994
2014q1,Serviço de Informação,1428583.30790874,372526.50540736993
2014q1,Serviços Imobiliários,530900.28686572,1109.79062063
2014q1,Transporte,4211390.1518643992,12875.6243176
2014q2,APU,14823669.691134702,94655.97766641
2014q2,Comércio,2830949.23028554,5067.17663827
2014q2,Intermediação Financeira,1300935.4465702104,41675.91024773
2014q2,Outros Serviços,10045597.330416799,53140.76654963
2014q2,Serviço de Informação,1418636.6798289397,367128.79205338
2014q2,Serviços Imobiliários,523575.88830591994,2933.91677013
2014q2,Transporte,4285166.0232612211,11044.964786359998
2014q3,APU,14869462.936414562,111548.49750872998
2014q3,Comércio,2825875.7887524818,7710.6872869900017
2014q3,Intermediação Financeira,1351815.9682100597,40334.295586540007
2014q3,Outros Serviços,10163418.372883903,44164.8455185
2014q3,Serviço de Informação,1414156.4236011002,392178.17707721
2014q3,Serviços Imobiliários,544665.03465806006,3601.2830886500005
2014q3,Transporte,4184252.0908285794,17934.857352570005
2014q4,APU,15061370.265464179,128531.04769863994
2014q4,Comércio,2816544.6129892911,4900.0661642099994
2014q4,Intermediação Financeira,1346002.00041448,57811.12080728
2014q4,Outros Serviços,10071849.876721583,41977.149818500009
2014q4,Serviço de Informação,1401395.83552419,428333.66093114024
2014q4,Serviços Imobiliários,614891.72119610978,3970.7120196700002
2014q4,Transporte,4314503.21424667,12921.573200750001
2015q1,APU,14650336.360283714,112266.85044347997
2015q1,Comércio,2821948.90262781,6237.82082167
2015q1,Intermediação Financeira,1302602.1179353197,55155.831076099988
2015q1,Outros Serviços,10036370.176018167,40782.91077002
2015q1,Serviço de Informação,1367216.4530711405,424053.60906888003
2015q1,Serviços Imobiliários,563041.71312318021,3847.7324968000003
2015q1,Transporte,4339577.32615629,10889.793940970001
2015q2,APU,14961248.904347219,116355.70529725996
2015q2,Comércio,2880591.188366469,10688.03572231
2015q2,Intermediação Financeira,1283562.5997963198,43187.50877296
2015q2,Outros Serviços,10045460.864595259,39165.68496361
2015q2,Serviço de Informação,1394201.7936000605,420675.92912606994
2015q2,Serviços Imobiliários,592467.29051636986,6410.20757929
2015q2,Transporte,4322460.5963195,15202.335383760003
2015q3,APU,15148604.676586024,111089.74921503998
