Setor,Trimestre,Produtividade_Hora_Habitual,Estoque_TI_Setor,Densidade_TI,Capital_Humano_FGV,Selic
APU,2022q1,15.401624867091936,115616.06249723004,0.007068753460750168,119.99581909179688,10.263333333333334
APU,2022q2,14.67643760818152,117818.66502692996,0.006892204754894562,120.35163879394531,12.35
APU,2022q3,14.576988061489452,137731.29556527996,0.007911403716781434,120.68605041503906,13.46
APU,2022q4,14.427858993902186,129601.97413449998,0.007369534569088865,120.80690002441406,13.65
APU,2023q1,14.897136745887666,127213.95945409,0.007408619706821078,121.36286926269531,13.65
APU,2023q2,14.705913657919854,137160.99429541,0.007668072066270911,122.77163696289062,13.65
APU,2023q3,14.81827057379716,136830.42233682005,0.007562154224930641,123.06672668457031,13.270000000000001
APU,2023q4,14.621179124300268,163976.24084093006,0.009089032635666185,123.19367980957031,12.229999999999999
APU,2024q1,14.816455847926072,135694.32924629,0.007657231804409426,123.5212173461914,11.266666666666666
APU,2024q2,14.347811684091129,137491.13391027003,0.007402869286462544,124.31383514404297,10.503333333333334
APU,2024q3,14.45893275100074,145229.39466025008,0.007751159138648078,124.24364471435547,10.433333333333334
APU,2024q4,14.199738058714434,138610.13460125003,0.007400065283548714,125.28343200683594,11.153333333333334
APU,2025q1,14.367914521626435,126440.53775859,0.007000024068318563,125.89030456542969,12.986666666666666
APU,2025q2,14.045850780378998,133737.69978855,0.007087198077301579,126.30794525146484,14.479999999999999
APU,2025q3,14.227183939695822,165149.70291874994,0.008655448589145309,126.67884063720703,14.9
Comércio,2012q2,6.329422949909522,5203.3977134100005,0.001875033424753348,100,8.87
Comércio,2012q3,6.686881257352775,2652.48328807,0.0009807003648564874,100.18153381347656,7.77
Comércio,2012q4,6.54028292297754,3035.1405586699993,0.0011078295861633774,100.7004165649414,7.176666666666667
Comércio,2013q1,6.1629479525616775,3865.50980231,0.0013945464999182602,101.4244155883789,7.126666666666668
Comércio,2013q2,6.488703199594344,6926.363379089999,0.0025247448824841615,102.35550689697266,7.526666666666666
Comércio,2013q3,6.622218107906998,2205.7074977499997,0.0008069316861486221,102.14210510253906,8.526666666666666
Comércio,2013q4,6.567010146829572,5893.945322190001,0.002091271582842121,102.35945129394531,9.533333333333333
Comércio,2014q1,6.239992970671116,4111.976637669999,0.0014906563365299367,103.20686340332031,10.416666666666666
Comércio,2014q2,6.310250754495741,5067.17663827,0.001789921410126774,104.41029357910156,10.89
Comércio,2014q3,6.656273988010388,7710.687286990002,0.0027286009235366927,104.5859375,10.9
Comércio,2014q4,6.656447338602396,4900.066164209999,0.001739743848406292,105.12271881103516,11.216666666666667
Comércio,2015q1,6.082267326470012,6237.82082167,0.0022104655459428474,106.01679229736328,12.183333333333332
Comércio,2015q2,5.933257129386273,10688.03572231,0.0037103618748382658,107.37136840820312,13.136666666666665
Comércio,2015q3,6.040147165305234,2732.4830533199997,0.0009743790545173153,107.95160675048828,13.996666666666668
Comércio,2015q4,6.022225470823996,4628.94592894,0.0016186300333860908,106.95196533203125,14.15
Comércio,2016q1,5.574411383936897,7476.324911880001,0.002592722847694004,109.09098815917969,14.15
Comércio,2016q2,5.694926960907686,8452.93142587,0.0029602839534592067,109.75340270996094,14.15
Comércio,2016q3,6.027748225788203,10392.51844697,0.0037138568306563082,110.8108901977539,14.15
Comércio,2016q4,5.8663352943352205,10023.00154262,0.003555148318775995,111.60974884033203,13.866666666666667
Comércio,2017q1,5.582418400857186,7397.99054302,0.002661068933856781,111.98241424560547,12.713333333333333
Comércio,2017q2,5.811016120815391,9510.3687168,0.003480307843163036,112.41259002685547,10.963333333333333
Comércio,2017q3,6.219077343946774,11053.1599509,0.00393209185575761,113.01736450195312,9.17
Comércio,2017q4,6.093050124283714,8796.08724649,0.0030651304519115816,112.57491302490234,7.47
Comércio,2018q1,5.820831685439718,6911.6758825,0.002390881178659585,113.65958404541016,6.733333333333333
Comércio,2018q2,5.932615973339941,6462.81899424,0.0023423904095111045,114.9787368774414,6.400000000000001
Comércio,2018q3,6.249800883692882,7051.10491769,0.00252525001207783,115.1507797241211,6.400000000000001
Comércio,2018q4,6.104867195381118,6496.6421027,0.0022720597701950643,115.61083984375,6.400000000000001
Comércio,2019q1,5.7776497604191235,7068.39376391,0.002525584826246604,116.07392120361328,6.400000000000001
Comércio,2019q2,5.942878844021746,6193.27851715,0.0021902829641858423,116.75357818603516,6.400000000000001
Comércio,2019q3,6.334405611428471,4413.48478102,0.0015316699088037422,116.94534301757812,6.003333333333334
Comércio,2019q4,6.189200037745078,5099.76100934,0.0017537604909982783,117.18951416015625,4.956666666666667
Comércio,2020q1,5.979222353980856,5553.46690997,0.0019237738622607115,117.7695541381836,4.180000000000001
Comércio,2020q2,5.947771864316669,2445.80518059,0.0009526710790493663,123.0787124633789,3.08
Comércio,2020q3,7.296456331094155,0.0,,124.04821014404297,1.9966666666666668
Comércio,2020q4,7.12445213754089,4269.6467425,0.0015623933164121185,124.14573669433594,1.8999999999999997
Comércio,2021q1,6.68877847521496,11533.54467156,0.004294424145348489,124.17011260986328,2.01
Comércio,2021q2,6.620746643857222,4613.58761909,0.0016627584473142098,123.7278060913086,3.233333333333333
Comércio,2021q3,6.548496249153142,3108.52623734,0.0010812699285679753,120.86347198486328,4.863333333333333
Comércio,2021q4,6.282108054969037,6481.242534049999,0.002217814500300629,120.00018310546875,7.57
Comércio,2022q1,5.802089877667544,3949.55116012,0.0013071390125464135,119.99581909179688,10.263333333333334
Comércio,2022q2,5.867670206024053,5057.969786649999,0.001635808221144463,120.35163879394531,12.35
Comércio,2022q3,6.1671829547579256,4063.68989806,0.0013029233046892303,120.68605041503906,13.46
Comércio,2022q4,6.065555906963612,5158.00656001,0.0016901248151946465,120.80690002441406,13.65
Comércio,2023q1,5.744602016716882,3153.87596862,0.0010464046609809266,121.36286926269531,13.65
Comércio,2023q2,5.983523984125614,5233.93605022,0.00169476645949154,122.77163696289062,13.65
Comércio,2023q3,6.322320455039056,3147.9712149499996,0.0010123096514318575,123.06672668457031,13.270000000000001
Comércio,2023q4,6.072798374939785,5451.084580430001,0.0017197258447405966,123.19367980957031,12.229999999999999
Comércio,2024q1,5.849036596647578,1684.05403355,0.0005413897965356552,123.5212173461914,11.266666666666666
Comércio,2024q2,6.049778604681248,6367.561510500001,0.0019746687052416135,124.31383514404297,10.503333333333334
Comércio,2024q3,6.3747385713978675,6434.542283330001,0.0019457001380269376,124.24364471435547,10.433333333333334
Comércio,2024q4,6.178362191131488,4580.092229419999,0.0013935067373460927,125.28343200683594,11.153333333333334
Comércio,2025q1,5.82068373181038,8214.7450737,0.002581215573337514,125.89030456542969,12.986666666666666
Comércio,2025q2,5.926894091437871,15015.75635321,0.0045550162626056085,126.30794525146484,14.479999999999999
Comércio,2025q3,6.426736229583584,6941.919563280001,0.0020747693212745267,126.67884063720703,14.9
Intermediação Financeira,2012q2,43.47970060029653,48849.08465229999,0.0387010764497058,100,8.87
Intermediação Financeira,2012q3,44.66390708610377,39779.67318089001,0.03181497357204183,100.18153381347656,7.77
Intermediação Financeira,2012q4,43.40446080093396,52215.20379626001,0.03938467069637724,100.7004165649414,7.176666666666667
Intermediação Financeira,2013q1,42.9276200228463,38586.20880879,0.030026157934415213,101.4244155883789,7.126666666666668
