Setor,Trimestre,Period,d_ln_Produtividade,Impacto_tech_setor,d_ln_Cambio,d_Selic,VAB_Industria_Volume,Share_2012q1,d_ln_PPI_Semi
Outros Serviços,2012q4,2012-10-01,0.0516533533028675,-0.0137138836323151,0.0145497445022559,-0.5933333333333328,-0.9,0.1107006185673422,-0.006188486698114559
Outros Serviços,2013q1,2013-01-01,-0.0877770631415779,0.0063040344120155,-0.0309498006463821,-0.0499999999999989,0.3,0.1107006185673422,-0.003958161797628534
Outros Serviços,2013q2,2013-04-01,0.028258325450615,0.0255223054567596,0.0365370388477542,0.3999999999999986,2.9,0.1107006185673422,0.007900718298437859
Outros Serviços,2013q3,2013-07-01,0.0152639333500934,-0.0084138368063489,0.1002605765260633,0.9999999999999992,0.5,0.1107006185673422,0.0011235956238264677
Outros Serviços,2013q4,2013-10-01,0.0293611463111538,0.0020270979917441,-0.0051700080106414,1.0066666666666677,-0.8,0.1107006185673422,0.0
Outros Serviços,2014q1,2014-01-01,-0.067795094460108,-0.0036395085098053,0.0377159237511521,0.8833333333333329,0.1,0.1107006185673422,-0.009024313922264326
Outros Serviços,2014q2,2014-04-01,0.0088417598353247,0.0017592341088487,-0.0584731026871309,0.4733333333333345,-2.5,0.1107006185673422,-0.0022688608711911584
Outros Serviços,2014q3,2014-07-01,-0.0014020160913534,-0.0023198871550381,0.0201713129360647,0.0099999999999997,-0.5,0.1107006185673422,0.0011350739016640077
Outros Serviços,2014q4,2014-10-01,0.0144167653587066,0.0039990376940159,0.1122214031785634,0.3166666666666664,0.8,0.1107006185673422,-0.0005673759017454927
Outros Serviços,2015q1,2015-01-01,-0.0582295968158823,-0.0078601268950142,0.1177350169727408,0.966666666666665,-2.1,0.1107006185673422,-0.0011357184639271267
Outros Serviços,2015q2,2015-04-01,-0.0004792068357828,-0.0305950661016985,0.070384187388818,0.9533333333333333,-2.8,0.1107006185673422,-0.0022753138371358617
Outros Serviços,2015q3,2015-07-01,-0.0064271196138618,-0.0163760933161547,0.143980752105993,0.860000000000003,-2.0,0.1107006185673422,-0.005138464061005266
Outros Serviços,2015q4,2015-10-01,0.0301741886810646,-0.0107961431693911,0.0797658766568645,0.1533333333333324,-1.7,0.1107006185673422,-0.002866152721608728
Outros Serviços,2016q1,2016-01-01,-0.0456642011839605,-0.0015960140460773,0.0173968279015088,0.0,-0.2,0.1107006185673422,-0.007490671729157405
Outros Serviços,2016q2,2016-04-01,0.0137962605454602,0.0121568151189488,-0.1079593239456664,0.0,-0.6,0.1107006185673422,-0.002316156217830212
Outros Serviços,2016q3,2016-07-01,0.0080132840635405,0.0007653688478887,-0.0777746983075766,0.0,-1.0,0.1107006185673422,-0.00348432408261079
Outros Serviços,2016q4,2016-10-01,0.012230022573499,0.0164853050567897,0.0141069927539037,-0.2833333333333332,-1.7,0.1107006185673422,-0.007005282588409045
Outros Serviços,2017q1,2017-01-01,-0.0558193504213893,0.0028488037120938,-0.0467644039242707,-1.1533333333333342,0.9,0.1107006185673422,0.007586847013058673
Outros Serviços,2017q2,2017-04-01,0.0221608583546177,0.0053956348653117,0.022276980754688,-1.75,0.3,0.1107006185673422,0.0029027596579611625
Outros Serviços,2017q3,2017-07-01,0.0019316338479409,0.0075096407391258,-0.0156069420199813,-1.793333333333333,0.3,0.1107006185673422,-0.02049852154834131
Outros Serviços,2017q4,2017-10-01,-3.395607771494724e-05,0.0084701088212201,0.0260694902542464,-1.7000000000000002,1.1,0.1107006185673422,-0.005934735519813827
Outros Serviços,2018q1,2018-01-01,-0.0346155893096569,-0.0067852950976206,-0.0011502635576929,-0.7366666666666664,0.5,0.1107006185673422,0.004158010148663571
Outros Serviços,2018q2,2018-04-01,0.0407644542548435,0.0064936373425668,0.1057529863893771,-0.3333333333333321,-1.6,0.1107006185673422,0.0005925926099337175
Outros Serviços,2018q3,2018-07-01,0.002563734783036,-0.0022342766219061,0.0933432898754682,0.0,1.1,0.1107006185673422,-0.008925974169078366
Outros Serviços,2018q4,2018-10-01,-0.0005379958239468,-0.0041674775401194,-0.038184795471472,0.0,-0.5,0.1107006185673422,-0.0029931180681321834
Outros Serviços,2019q1,2019-01-01,-0.0376207854216732,0.0017980137764069,-0.0104125468079521,0.0,-0.9,0.1107006185673422,-0.009033485097667437
Outros Serviços,2019q2,2019-04-01,0.0135237188503192,0.0014110268078808,0.0385598504670683,0.0,0.6,0.1107006185673422,0.001813237124181022
Outros Serviços,2019q3,2019-07-01,0.0043599474377717,-0.0084457949979425,0.0138784943535894,-0.3966666666666674,0.2,0.1107006185673422,0.005420067469338541
Outros Serviços,2019q4,2019-10-01,0.0180021244656449,0.0057381089884879,0.0355251239156133,-1.0466666666666669,0.1,0.1107006185673422,0.0006004203122440543
Outros Serviços,2020q1,2020-01-01,-0.0556413845001639,-0.0066322154800067,0.079532534568028,-0.7766666666666664,-1.9,0.1107006185673422,-0.0006004203122440543
Outros Serviços,2020q2,2020-04-01,-0.0060434954170938,-0.0174216130686535,0.1895430957543946,-1.1000000000000003,-11.8,0.1107006185673422,-0.010869672236903938
Outros Serviços,2020q3,2020-07-01,0.1433210443477512,0.0320412816766701,-0.0015291043482092,-1.0833333333333333,15.4,0.1107006185673422,-0.0042592093593958325
Outros Serviços,2020q4,2020-10-01,0.0316576110251742,0.0045745739222574,0.0029879298816946,-0.0966666666666671,2.5,0.1107006185673422,-0.013505423199807076
Outros Serviços,2021q1,2021-01-01,-0.0541539316286865,-0.0053439534634609,0.0140826664952613,0.1100000000000001,1.7,0.1107006185673422,0.004316997145400681
Outros Serviços,2021q2,2021-04-01,-0.0008453279151856,-0.0038612271023306,-0.0330454567971429,1.2233333333333332,-1.6,0.1107006185673422,0.005523180656110682
Outros Serviços,2021q3,2021-07-01,0.0194868762712012,0.0088713402810284,-0.0124790997761965,1.6300000000000003,-1.1,0.1107006185673422,0.004817020874583466
Outros Serviços,2021q4,2021-10-01,-0.0233108576448664,0.0043361067119966,0.0653942974104895,2.706666666666667,-2.7,0.1107006185673422,0.008665728395902406
Outros Serviços,2022q1,2022-01-01,-0.0332450693382635,0.0011919297558881,-0.0646933747126794,2.693333333333334,3.3,0.1107006185673422,0.022744126119000008
Outros Serviços,2022q2,2022-04-01,0.0312737846481767,0.0099971312359894,-0.0615267522794715,2.086666666666666,1.5,0.1107006185673422,0.003535071554701119
Outros Serviços,2022q3,2022-07-01,0.0290648891543952,-0.0048220975121084,0.0646621392188204,1.1100000000000012,0.5,0.1107006185673422,0.0013518042765481297
Outros Serviços,2022q4,2022-10-01,0.0139561588521459,-0.0079192885579333,0.0012057445663369,0.1899999999999995,-0.6,0.1107006185673422,0.013146068907619046
Outros Serviços,2023q1,2023-01-01,-0.056864108214429,-0.0061733227698649,-0.0117061873342434,0.0,0.2,0.1107006185673422,-0.004426893885050909
Outros Serviços,2023q2,2023-04-01,0.0166771362136741,-0.007007771091676,-0.0479624086240166,0.0,0.9,0.1107006185673422,-0.007562776399954174
Outros Serviços,2023q3,2023-07-01,0.019214343310508,0.0005195549114342,-0.0144296190127115,-0.379999999999999,0.7,0.1107006185673422,0.005563679116043829
Outros Serviços,2023q4,2023-10-01,0.0169246072770976,-0.0010749105396081,0.0148469251060516,-1.0400000000000027,1.5,0.1107006185673422,0.006368022170764931
Outros Serviços,2024q1,2024-01-01,-0.0420739565489238,0.0128757304493052,-9.421518755781122e-05,-0.9633333333333328,0.6,0.1107006185673422,0.008715482051075085
Outros Serviços,2024q2,2024-04-01,0.0158380914127553,0.0023178016967253,0.0519421897324703,-0.7633333333333319,0.5,0.1107006185673422,0.0027603797122131013
Outros Serviços,2024q3,2024-07-01,0.0304849356142333,0.0142568707323969,0.0610398418730573,-0.0700000000000002,0.7,0.1107006185673422,-0.011655587016039526
Outros Serviços,2024q4,2024-10-01,0.0019319193732405,-0.0143191186232039,0.0522299686138909,0.7200000000000006,0.4,0.1107006185673422,0.018748179836389767
Serviço de Informação,2012q2,2012-04-01,-0.0262019851708776,0.0008857043605564,0.1049078733506749,-1.4366666666666674,-2.1,0.0148744935445126,0.0016727073875033582
Serviço de Informação,2012q3,2012-07-01,0.0112005079271062,0.0001165891924492,0.0327679155782643,-1.0999999999999996,1.5,0.0148744935445126,-0.006707683059238967
Serviço de Informação,2012q4,2012-10-01,0.0941456356837582,-0.0018426913616113,0.0145497445022559,-0.5933333333333328,-0.9,0.0148744935445126,-0.006188486698114559
Serviço de Informação,2013q1,2013-01-01,-0.0883157083084751,0.0008470532538972,-0.0309498006463821,-0.0499999999999989,0.3,0.0148744935445126,-0.003958161797628534
Serviço de Informação,2013q2,2013-04-01,0.0434901923835018,0.0034293518199874,0.0365370388477542,0.3999999999999986,2.9,0.0148744935445126,0.007900718298437859
Serviço de Informação,2013q3,2013-07-01,-0.0230844670010035,-0.001130540758311,0.1002605765260633,0.9999999999999992,0.5,0.0148744935445126,0.0011235956238264677
Serviço de Informação,2013q4,2013-10-01,0.0830889599362243,0.0002723747742561,-0.0051700080106414,1.0066666666666677,-0.8,0.0148744935445126,0.0
Serviço de Informação,2014q1,2014-01-01,-0.0703285041620396,-0.0004890292984349,0.0377159237511521,0.8833333333333329,0.1,0.0148744935445126,-0.009024313922264326
Serviço de Informação,2014q2,2014-04-01,0.0295308987340483,0.000236382747757,-0.0584731026871309,0.4733333333333345,-2.5,0.0148744935445126,-0.0022688608711911584
Serviço de Informação,2014q3,2014-07-01,0.0054386664311403,-0.0003117159321979,0.0201713129360647,0.0099999999999997,-0.5,0.0148744935445126,0.0011350739016640077
Serviço de Informação,2014q4,2014-10-01,0.0686498607567642,0.0005373381028374,0.1122214031785634,0.3166666666666664,0.8,0.0148744935445126,-0.0005673759017454927
